Id,Label,timeset,topgenre,Degree,modularity_class,componentnumber
1027,Brenton Thwaites,,Horror,9,1,0
1028,Katee Sackhoff,,Horror,6,1,0
1029,Rory Cochrane,,Horror,3,1,0
1064,Jordi Molla,,Action,3,1,0
1074,Armie Hammer,,Action,12,1,0
1087,Alicia Vikander,,Drama,18,1,0
1088,Oscar Isaac,,Drama,8,1,0
1089,Sonoya Mizuno,,Drama,3,1,0
1130,Ben Barnes,,Action,3,1,0
1142,Taika Waititi,,Comedy,3,1,0
1143,Cori Gonzalez-Macuer,,Comedy,3,1,0
1144,Jonny Brugh,,Comedy,3,1,0
1152,Jessica Alba,,Action,6,1,0
1159,Taylor Swift,,Drama,3,1,0
1170,Jack O'Connell,,Drama,6,1,0
1171,Miyavi,,Biography,3,1,0
1216,Ward Horton,,Horror,3,1,0
1217,Annabelle Wallis,,Thriller,6,1,0
1218,Alfre Woodard,,Horror,3,1,0
1219,Tony Amendola,,Horror,3,1,0
1246,Daisy Ridley,,Action,3,1,0
1247,John Boyega,,Action,3,1,0
1255,Elizabeth Debicki,,Action,3,1,0
1279,Rebecca Ferguson,,Drama,9,1,0
1300,Mark Rylance,,Drama,6,1,0
1368,Kevin Connolly,,Comedy,3,1,0
1369,Jerry Ferrara,,Comedy,3,1,0
1370,Kevin Dillon,,Comedy,3,1,0
1430,Tian Jing,,Action,3,1,0
1431,Andy Lau,,Action,3,1,0
1572,Ruby Barnhill,,Adventure,3,1,0
1573,Penelope Wilton,,Adventure,3,1,0
1576,Tom Cullen,,Thriller,3,1,0
1577,Clint Dyer,,Thriller,3,1,0
1597,Joe Alwyn,,Drama,3,1,0
1598,Arturo Castro,,Drama,3,1,0
1599,Mason Lee,,Drama,3,1,0
1698,Simon Helberg,,Biography,3,1,0
1775,Peter Riegert,,Crime,3,1,0
1903,Jason Barry,,Crime,3,1,0
1904,Karen Moskow,,Crime,3,1,0
1905,Kai Ryssdal,,Crime,3,1,0
20,Owen Wilson,,Comedy,25,2,0
21,Bonnie Hunt,,Animation,3,2,0
22,Paul Newman,,Animation,3,2,0
23,Larry the Cable Guy,,Animation,5,2,0
55,Ulrich Muhe,,Drama,3,2,3
56,Martina Gedeck,,Drama,3,2,3
57,Sebastian Koch,,Drama,3,2,3
58,Ulrich Tukur,,Drama,3,2,3
71,Luke Wilson,,Adventure,6,2,0
72,Maya Rudolph,,Comedy,11,2,0
73,Dax Shepard,,Adventure,3,2,0
74,Terry Crews,,Comedy,8,2,0
98,Robin Williams,,Comedy,6,2,0
126,Michelle Monaghan,,Action,24,2,0
153,Will Ferrell,,Comedy,22,2,0
154,John C. Reilly,,Comedy,16,2,0
155,Sacha Baron Cohen,,Comedy,8,2,0
156,Gary Cole,,Action,6,2,0
158,Ben Kingsley,,Drama,27,2,0
177,Bill Hader,,Comedy,9,2,0
279,Ben Stiller,,Comedy,14,2,0
348,Jeff Kahn,,Action,3,2,0
351,Anna Faris,,Comedy,12,2,0
352,Colin Hanks,,Comedy,3,2,0
354,Kat Dennings,,Comedy,3,2,0
357,Mary Steenburgen,,Comedy,6,2,0
358,Richard Jenkins,,Drama,15,2,0
377,Kristen Bell,,Comedy,11,2,0
436,Jae Head,,Drama,6,2,0
447,Adam Sandler,,Comedy,22,2,0
448,John Turturro,,Action,3,2,0
449,Emmanuelle Chriqui,,Action,3,2,0
450,Nick Swardson,,Action,3,2,0
496,Zach Galifianakis,,Comedy,12,2,0
500,Ryan Reynolds,,Action,21,2,0
504,Quinton Aaron,,Biography,3,2,0
505,Sandra Bullock,,Drama,15,2,0
506,Tim McGraw,,Biography,3,2,0
523,Craig T. Nelson,,Comedy,3,2,0
565,Kodi Smit-McPhee,,Drama,9,2,0
649,Jon Hamm,,Action,9,2,0
675,Cara Buono,,Drama,3,2,0
676,Tina Fey,,Comedy,9,2,0
698,Salma Hayek,,Comedy,6,2,0
699,Kevin James,,Comedy,8,2,0
700,Chris Rock,,Comedy,4,2,0
707,Gemma Arterton,,Drama,9,2,0
708,Alfred Molina,,Drama,9,2,0
749,Kristen Wiig,,Comedy,21,2,0
757,Vanessa Hudgens,,Action,6,2,0
759,Kathy Bates,,Comedy,3,2,0
760,Kurt Fuller,,Comedy,3,2,0
847,Selena Gomez,,Drama,9,2,0
848,Ashley Benson,,Drama,3,2,0
849,Rachel Korine,,Drama,3,2,0
891,Jack McBrayer,,Animation,3,2,0
892,Jane Lynch,,Animation,3,2,0
893,Sarah Silverman,,Comedy,6,2,0
948,Idina Menzel,,Animation,3,2,0
949,Jonathan Groff,,Animation,3,2,0
950,Josh Gad,,Animation,6,2,0
975,David Spade,,Comedy,5,2,0
994,Orto Ignatiussen,,Drama,3,2,0
1008,Jon Daly,,Adventure,3,2,0
1009,Kathryn Hahn,,Comedy,9,2,0
1010,Michael McDonald,,Action,3,2,0
1011,Melissa McCarthy,,Comedy,12,2,0
1012,Demian Bichir,,Action,6,2,0
1035,Benjamin Bratt,,Animation,3,2,0
1036,Miranda Cosgrove,,Animation,3,2,0
1102,Matthew Goode,,Biography,6,2,0
1103,Allen Leech,,Biography,3,2,0
1111,Michael Keaton,,Drama,15,2,0
1127,Drew Barrymore,,Comedy,3,2,0
